,,,,,,,,,,
,,,,,,,,,,Prompt:
,10,오늘 저녁 시:4시44분 상동면 지역 내삼 마을 안 삼계솔밭 밭 불타다 사고 가깝다 장소 자동차 북쪽 사고 조심,금일 16:44 상동면 내삼마을 내 삼계솔밭 화재 발생. 이 지역을 우회하여 주시고 인근 주민은 안전사고 발생에 유의 바랍니다.,오늘 오후 4시 44분경 상동면 내삼마을 삼계솔밭 인근에서 화재가 발생했습니다. 인근을 지나는 차량은 북측 구간 통행 시 각별히 주의하시기 바랍니다.,"오늘 저녁 4시 44분, 상동면 내삼 마을 삼계솔 밭에 화재가 발생했습니다. 근처 차량은 북쪽 사각형 구역으로 대피하시기 바랍니다.",오늘 저녁 4시 44분경 상동면 내삼마을 삼계솔밭 인근에서 화재가 발생했습니다. 해당 지역을 지나는 차량은 안전에 주의하며 서행하시기 바랍니다.,오늘 오후 4시 44분경 상동면 내삼리 삼계솔밭 인근 밭에서 화재가 발생했습니다. 이 지역을 지나는 차량 운전자분들은 화재 사고에 유의하여 안전 운전하시기 바랍니다,,,
,11,홍보 붙이다 집 집 지시 각각 코로나 검사 방문 협조 부탁 시간 아침 아침 시:10시00분 하이픈 시:4시00분 언제 까지 날짜:2월14일 선별소 장소 홍천 구청 발표,"[홍천군청] 코로나19 확산방지를 위해 「한집에 한사람 검사받기」 캠페인에 적극 동참해 주시기 바랍니다.(오전10시~오후4시 2월14일까지, 보건소 선별진료소)","홍천군청은 각 가정에 안내문을 부착하고, 모든 주민께 코로나19 검사에 적극 협조해 주실 것을 요청했습니다. 선별검사소는 2월 14일까지 오전 10시부터 오후 4시까지 운영됩니다.","홍천 구청에서는 2월 14일까지 집집에 코로나 검사를 방문하도록 협조를 요청하며, 아침 10시와 오후 4시에 선별소에서 검사가 진행됩니다.","[홍천구청 안내] 가구당 1명 이상 코로나 검사 협조를 부탁드립니다. 운영 시간은 오전 10시부터 오후 4시까지이며, 2월 14일까지 홍천구청 선별진료소를 방문해 주시기 바랍니다.",홍천군청에서 알려드립니다. 코로나19 확산 방지를 위해 2월 14일까지 '1가구 1인' 진단 검사를 실시하오니 적극 협조하여 주시기 바랍니다. 선별진료소 운영 시간은 오전 10시부터 오후 4시까지입니다,,,
,12,아침 꼴찌 온도 15 물결표 20 낮 최고 온도 18 물결표 27,"아침 최저기온은 15도에서 20도, 낮 최고기온은 18도에서 27도가 되겠습니다.","오늘 아침 최저기온은 15~20도, 낮 최고기온은 18~27도로 예상됩니다.","오늘의 기온 변동은 아침 최저 15℃, 낮 최고 20℃이며, 오후에는 18℃가 되고 밤엔 27℃까지 상승합니다.","오늘 아침 최저 기온은 15도에서 20도, 낮 최고 기온은 18도에서 27도 분포를 보이겠습니다.","아침 최저 기온은 15도에서 20도, 낮 최고 기온은 18도에서 27도로 예상됩니다",,,
,13,새벽 시:6시20분 전남 진도 장소 눈내리다 경보 북쪽 버스 타다 비닐하우스 집 집 지시 눈내리다 빗자루 길 미끄럽다 조심,"6시20분 전남(진도) 대설 경보, 대중교통이용, 비닐하우스 와 내 집 앞 눈 치우기, 눈길 미끄럼 등 주의하세요","오늘 새벽 6시 20분경 전남 진도 지역에 대설 경보가 발효되었습니다. 특히 북쪽 방면 버스 이용객과 비닐하우스, 주택 인근 주민께서는 눈으로 인해 길이 미끄러우니 빗자루 등으로 제설하고 안전에 각별히 유의해 주시기 바랍니다.","새벽 6시 20분, 전라남도 진도 지역에서 눈이 내리며 경보가 발령되었습니다. 북쪽으로 버스를 타야 하고, 비닐하우스와 집에 지시를 전달하며 눈이 오고 빗자루 길은 미끄럽으니 주의하세요.","새벽 6시 20분 전남 진도 지역에 대설경보가 발효되었습니다. 대중교통을 이용해 주시고, 비닐하우스 등 시설물 점검 및 집 앞 눈 치우기에 동참하여 빙판길 미끄럼 사고에 주의하시기 바랍니다.","오늘 새벽 6시 20분을 기해 전남 진도 지역에 대설경보가 발효되었습니다. 비닐하우스 붕괴 등에 대비해 집 앞 눈을 치워주시고, 눈길이 미끄러우니 자가용 대신 대중교통을 이용해 주시기 바랍니다",,,
,14,신창역 선로 침수 아침 시:11시40분 시:11시40분 부터 기차 멈추다 오늘 수리 중,"12/20 신창역 전동열차 선로침수로 11:40부터 운행중지, 복구중입니다.",신창역 선로 침수로 인해 오늘 오전 11시 40분부터 열차 운행이 중단됐습니다. 현재 복구 작업이 진행 중입니다.,신창역 선로가 침수돼 아침 11시 40분부터 기차 운행이 중단되었습니다. 현재 수리 작업이 진행 중입니다.,신창역 선로 침수로 인해 오늘 오전 11시 40분부터 열차 운행이 중단되었습니다. 현재 복구 작업이 진행 중입니다.,신창역 선로 침수로 인해 오늘 오전 11시 40분부터 열차 운행이 중단되었습니다. 현재 긴급 복구 작업이 진행 중이오니 이용에 참고하시기 바랍니다,,,
,15,전북 고창 지역 물 막대기 막대기 벌어지다 퍼지다 원인 물 제한 중 북쪽 물 사용 하지마 부탁,현재 전북 고창군 관내 상수관로 누수로 제한급수 중입니다. 군민 여러분들께서는 물 사용을 자제해 주시기 바랍니다.,"전북 고창 지역에서 제방이 파손되며 물이 확산되고 있습니다. 북쪽 지역은 단수 조치가 시행 중이니, 해당 지역 주민께서는 물 사용을 삼가 주시기 바랍니다.","전라북도 고창 지역에서는 물이 막대기처럼 퍼져 나가고 있습니다. 원인은 물 사용이 제한 중인 상황인데, 북쪽 지역은 물을 사용하지 말아 주시길 부탁드립니다.",전북 고창 지역의 상수도 관로 파손으로 인해 현재 단수 조치 중입니다. 해당 지역 주민들께서는 복구 시까지 물 사용을 자제해 주시기 바랍니다.,전북 고창 지역 상수도관 파열 사고로 인해 현재 긴급 급수 제한(단수) 조치가 내려졌습니다. 주민 여러분께서는 복구 시까지 물 사용을 자제해 주시기 바랍니다,,,
,16,경상도 지역 비내리다 밤 그치다 전국 구름 비내리다 눈내리다,전국이 흐리고 비 또는 눈(경상남북도 비)가 오다가 밤에 점차 그치겠습니다.,"경상도 지역에는 비가 내리다 밤에 그치겠고, 전국은 구름이 많으며 곳곳에 비나 눈이 내리겠습니다.","경상도 지역에서는 비가 오고 있으며, 밤에는 그칠 예정입니다. 전국적으로는 구름이 끼어 비와 눈이 동시에 내리고 있습니다.","경상도 지역의 비는 밤에 대부분 그치겠으며, 전국적으로 구름이 많은 가운데 곳에 따라 비나 눈이 내리는 곳이 있겠습니다.",경상도 지역은 비가 오다가 밤에 그치겠습니다. 그 밖의 전국은 대체로 흐리고 곳에 따라 비나 눈이 내리겠습니다,,,
,17,흐르다 동부 연결 연결 인근 자동차 중랑 구청 교통 다스리다 전문 발표,"한강 및 중랑천 수위상승으로 동부간선도로를 전면 통제하오니, 우회바랍니다. (중랑구청 교통행정과 )",동부간선도로와 연결된 인근 도로에서 차량 통행이 혼잡해 중랑구청이 교통 통제에 들어갔다고 관계 기관이 발표했습니다.,"흐르는 비가 동부 지역을 연결하고 있으며, 인근에 차량이 주행 중입니다. 중랑구청은 교통 상황을 조정한다는 전문 발표를 했습니다.",[중랑구청 교통 통제 안내] 동부간선도로 인근 침수로 인해 차량 통행이 제한되고 있습니다. 교통 경찰의 안내에 따라 우회해 주시기 바랍니다.,중랑구청에서 알려드립니다. 집중 호우로 인해 동부간선도로 및 인근 도로의 차량 통행이 전면 통제되고 있습니다. 운전자분들께서는 우회하여 주시기 바랍니다,,,
,18,내일 날짜:9월23일 월요일 강원영동 경북 동해 비내리다 그치다 햇빛 경상도 잠시만 소나기 그치다 전국 구름,"내일 9월 23일 (월) 전국이 구름 많고 강원영동, 경북동해안은 비 후 개겠으며 경상도는 한때 소나기가 내리겠습니다.","내일(9월 23일, 월요일) 강원 영동과 경북 동해안에는 비가 내리다 그치겠고, 경상도에는 한때 소나기가 지나겠습니다. 전국은 대체로 구름이 많겠습니다.","내일 9월 23일 월요일에는 강원 영동과 경북 동해 지역에서 비가 오다가 그칠 예정이며, 햇빛은 드러나지만 경상도에서는 잠시 소나기가 올 것이며 멈출 것입니다. 전국적으로는 구름이 끼어 있습니다.",내일 9월 23일 월요일은 강원 영동과 경북 동해안의 비가 그친 후 맑아지겠습니다. 경상 내륙에는 한때 소나기가 지나는 곳이 있겠으나 전국적으로 구름 많은 날씨가 예상됩니다.,"내일인 9월 23일 월요일, 강원 영동과 경북 동해안은 비가 내리다가 그친 후 개겠습니다. 경상도 내륙은 한때 소나기가 오는 곳이 있겠으며, 전국은 구름이 많겠습니다",,,
,19,오늘 태풍 땅 땅물체 경보 심하다 거세다 비내리다 바람 중 산 산 지시 가깝다 북쪽 밖 하지마 하지마 편하다 장소 도망,"태풍경보 및 산사태 위기경보, 오늘은 매우 강한 비바람인 상태로 산 인근 거주민들은 외출을 자제하고 안전한 곳으로 대피하시기 바랍니다.","오늘 태풍 영향으로 강한 비와 바람이 예상되며, 산간 지역은 특히 위험합니다. 북측 인근 지역 주민께서는 외출을 삼가고, 안전한 장소로 대피해 주시기 바랍니다.","오늘 태풍이 발생해 땅에 물체가 떨어지고 비와 강풍이 치는 심각한 상황입니다. 산은 위험하며, 특히 북쪽 지역에서는 외출을 삼가고 안전한 장소로 대피하시기 바랍니다.",현재 태풍 경보로 인해 강한 비바람이 몰아치고 있습니다. 산사태 위험 지역이나 상습 침수 구역에 계신 분들은 외출을 금지하고 안전한 곳으로 즉시 대피하시기 바랍니다.,"태풍의 영향으로 거센 비바람이 몰아치며 산사태 경보가 발령되었습니다. 산 인근 주민들은 외출을 자제해 주시고, 미리 안전한 곳으로 대피해 주시기 바랍니다",,,
,20,화순 군청 어제 날짜:1월24일 저녁 코로나걸리다 1 사고 전남 712 화순 43 이동 파악 방역소독 완료 사람 검사 진행 중 마지막 발표,[화순군청] 어제(1.24.) 저녁 확진자 1명 발생(전남712번/화순43번). 이동동선 파악 및 소독 완료. 접촉자는 조사중이며 조사결과는 추후 안내하겠습니다,"화순군청은 어제(1월 24일) 저녁 코로나19 확진자 1명이 발생했다고 발표했습니다. 전남 712번, 화순 43번 확진자의 이동 경로는 파악을 마쳤으며, 방역 소독을 완료했고 접촉자 검사가 진행 중입니다.","화순군청은 어제 1월 24일 저녁 코로나 감염으로 인한 사고가 발생해 전라남도 712번과 화순 43번의 이동을 파악했습니다. 방역 소독이 완료되었고, 검사가 진행 중이며 최종 발표가 나왔습니다.","[화순군청] 어제 1월 24일 저녁 코로나19 확진자 1명(전남 712번, 화순 43번)이 발생했습니다. 이동 동선 방역 소독은 완료되었으며, 접촉자 검사가 진행 중입니다.","화순군청에서 알려드립니다. 어제(1월 24일) 저녁, 관내에 코로나19 확진자 1명(전남 712번, 화순 43번)이 발생했습니다. 현재 이동 동선 파악 및 방역 소독을 완료하였으며, 접촉자 검사가 진행 중입니다",,,
,21,일부분 전기 끄다 사고 한전 장소 복구 일하다 중 왜 찌릿하다 그래서 전기 나누다 안되다 장소,금일 감전 등으로 전기공급이 원활하지 않아 일부지역 정전 발생. 한전에서 복구작업을 진행하고 있습니다,"사고로 일부 지역의 전기가 차단됐으며, 한전이 현장에서 복구 작업을 진행 중입니다. 감전 위험이 있으니 전기 설비를 임의로 만지거나 전원을 나누어 사용하지 마시고 해당 장소 접근을 삼가 주십시오.",일부분 전기를 끈 뒤 한전이 복구 작업 중인데 감전 위험이 있어 전기 공급을 분산할 수 없습니다.,[한국전력공사 안내] 해당 지역의 전기 사고 복구 작업으로 인해 일시적으로 정전이 발생하고 있습니다. 감전 사고 위험이 있으니 복구 구역 내 전기 설비에 접근하지 마시기 바랍니다.,"일부 지역의 전기 공급 중단으로 현재 한전에서 복구 작업 중입니다. 작업 중 감전 사고의 위험이 있어, 해당 장소의 전력 공급을 일시적으로 차단하였으니 양해 바랍니다",,,
,22,안성 산본 장소 날짜:8월2일 저녁 시:4시 정도 산 땅물체 등산 하지마 인근 북쪽 사고 없다 조심,8월 2일 16:00경 안성시 산본면 산사태 발생. 입산을 자제하시고 인근 주민은 안전사고 발생에 유의하여 주시기 바랍니다.,"안성 산본 일대에서 8월 2일 오후 4시경 산사태(낙석) 우려가 있습니다. 등산은 삼가고, 인근 북측 지역은 현재 추가 사고는 없으나 각별히 주의하시기 바랍니다.",안성 산본 지역에서는 8월 2일 저녁 4시경에 산과 지면 물체로 인해 등산이 위험합니다. 인근 북쪽은 사고가 없으니 주의하세요.,안성시 산본동 인근 주민들께 안내드립니다. 8월 2일 오후 4시경 산사태 위험이 감지되었습니다. 인근 산행을 자제해 주시고 산 주변 지역에 계신 분들은 안전에 각별히 유의하십시오.,"8월 2일 오후 4시경, 안성 및 산본 인근 산사태(땅밀림) 위험이 있습니다. 등산을 금지하며, 북쪽 인근 주민들은 사고가 발생하지 않도록 각별히 유의해 주시기 바랍니다",,,
,23,하이선 태풍 바람 비내리다 올것이다 밖 하지마 밭 물건 피해 없다 조심,"태풍 하이선 북상중, 강풍 및 호우가 예상되므로 외출자제 및 농작물 피해없도록 대비하시기 바랍니다.","태풍 ‘하이선’의 영향으로 강한 바람과 비가 예상됩니다. 외출을 자제하시고, 밭이나 야외에 있는 물건은 피해가 없도록 단단히 고정해 주시기 바랍니다.","하이선 지역에서는 태풍으로 인해 강한 바람과 비가 예상됩니다. 외출을 삼가고, 밭에 있는 물건에는 큰 피해가 없으므로 조심하시기 바랍니다.",태풍 '하이선'의 영향으로 강한 비바람이 몰아칠 예정입니다. 외출을 자제해 주시고 농작물이나 실외 시설물 피해가 없도록 사전에 철저히 대비하시기 바랍니다.,"태풍 '하이선'의 북상으로 강한 비바람이 예상됩니다. 외출을 자제해 주시고, 밭작물 및 시설물 등 실외 물건에 피해가 없도록 철저히 대비하시기 바랍니다",,,
,24,오늘 오후 시:2시 사하 지역 동아 공장 고등 학교 뒤 산불 줄다 완료 북쪽 도망 되돌리다 이동 가능 알려주다,금일 14:00 발생한 사하구 동아공고 뒷산 산불이 진화 완료되어 주민대피가 해제되었음을 알려드립니다.,"오늘 오후 2시, 사하 지역 동아공장 고등학교 뒤편에서 발생한 산불은 진화가 완료되었습니다. 북측 방향으로의 대피 조치는 해제되었으며, 현재 이동이 가능함을 알려드립니다.","오늘 오후 2시, 사하 지역의 동아공장 및 고등학교 뒤쪽에서 발생한 산불이 진화해 완전히 소멸했습니다. 북쪽 방향으로 대피하시고 상황이 정상화되었으니 이동이 가능합니다.",오늘 오후 2시경 사하구 동아공고 뒷산에서 발생한 산불 진화가 완료되었습니다. 대피하셨던 분들은 이제 귀가하셔도 좋음을 알려드립니다.,"오늘 오후 2시, 사하구 동아고등학교 뒤편에서 발생한 산불 진화가 완료되었습니다. 북쪽으로 대피하셨던 주민들은 이제 귀가하셔도 좋습니다",,,
,25,산둥반도 지역 지역 동쪽 가깝다 고기압 전국 햇빛,중국 산동반도 부근에 위치한 고기압의 영향을 받아 전국이 대체로 맑겠습니다.,"산둥반도 동쪽 인근에 고기압이 위치해, 오늘 전국은 대체로 맑은 날씨가 예상됩니다.",산둥 반도의 동쪽에서는 고기압이 형성되어 전국에 걸쳐 맑은 햇빛이 예상됩니다.,산둥반도 부근에서 동진하는 고기압의 영향으로 전국이 대체로 맑겠습니다.,"산둥반도 부근에서 동쪽으로 이동하는 고기압의 영향을 받아, 전국이 맑은 날씨를 보이겠습니다",,,
,26,신안 구청 발표 목포 기독교 병원 방문 한적있다 언제 2021 날짜:1월19일 아침 시:10시44분 하이픈 시:11시25분 방문 한적있다 지시 방문 코로나검사 부탁,[신안군청] 인근시군 확진자관련 ‘21.1.19(화) 10:44~11:25 목포기독병원 외래 방문자는 보건소 선별진료소에서 검사 받으시기 바랍니다.,신안군청은 2021년 1월 19일 오전 10시 44분부터 11시 25분 사이 목포기독병원을 방문한 이력이 있는 분들께 코로나19 검사를 받아 달라고 요청했습니다.,"신안 구청에서는 2021년 1월 19일 오전 10시 44분 및 11시 25분에 목포 기독교병원을 방문한 기록이 있으며, 해당 방문 시 코로나 검사를 요청하도록 지시했습니다.",[신안군청] 2021년 1월 19일 오전 10시 44분에서 11시 25분 사이 목포 기독병원을 방문하신 분은 인근 보건소를 방문하여 코로나 검사를 받으시기 바랍니다.,2021년 1월 19일 10:44~11:25 목포 기독교병원을 방문하신 분은 인근 보건소 선별진료소를 방문하여 코로나19 검사를 받으시기 바랍니다,,,
,27,중국 지도 북쪽 지역 고기압 뒤 바다 저기압 퍼지다 으깨다,동해상에 위치한 저기압의 영향에서 벗어나 중국 북부지방에서 남하하는 고기압의 영향을 점차 받겠습니다.,"중국 북부 지역에는 고기압이 자리하고, 그 뒤쪽 바다에는 저기압이 형성돼 확산되고 있습니다.",중국 지도상 북쪽 지역에서는 고기압이 뒤를 이으며 바다와 저기압이 퍼져 흔들리는 현상이 나타납니다.,중국 북부 지방에 위치한 고기압과 해상의 저기압이 만나 기압골이 형성되면서 전국적으로 구름이 많고 흐려지겠습니다.,중국 북부 지방에 위치한 고기압의 가장자리와 그 뒤편 해상으로 퍼지는 저기압의 영향으로 기압계가 불안정합니다,,,
